"S_No","Average download speed (Mbit/s)","Postcode","Short Postcode","Town/City","District","County"
1278,27.1,"DA11 9AW","DA11 ","GRAVESEND","DARTFORD","KENT"
1279,27.1,"DA11 9AW","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1280,27.1,"DA11 9AW","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1281,27.1,"DA11 9AW","DA11 ","GRAVESEND","DARTFORD","KENT"
1282,27.1,"DA11 9AW","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1283,27.1,"DA11 9AW","DA11 ","GRAVESEND","DARTFORD","KENT"
1284,42.4,"DA11 9AX","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1285,42.4,"DA11 9AX","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1286,32.9,"DA11 9AZ","DA11 ","GRAVESEND","DARTFORD","KENT"
1287,29.8,"DA11 9BJ","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1288,26.2,"DA11 9DY","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1289,33,"DA11 9HB","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1290,33,"DA11 9HB","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1291,21.5,"DA11 9HW","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1292,21.5,"DA11 9HW","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1293,21.5,"DA11 9HW","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1294,35.6,"DA11 9JE","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1295,35.6,"DA11 9JE","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1296,35.6,"DA11 9JE","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1297,20.6,"DA11 9LX","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1298,20.6,"DA11 9LX","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1299,20.6,"DA11 9LX","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1300,27.3,"DA11 9NB","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1301,27.3,"DA11 9NB","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1302,27.3,"DA11 9NB","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1303,31.9,"DA11 9NE","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1304,31.9,"DA11 9NE","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1305,35.5,"DA11 9NG","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1306,22,"DA11 9NL","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1307,22,"DA11 9NL","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1308,22,"DA11 9NL","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1309,26.1,"DA11 9QP","DA11 ","GRAVESEND","GRAVESHAM","KENT"
1310,32.1,"DA12 3DR","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1311,32.1,"DA12 3DR","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1312,32.1,"DA12 3DR","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1313,35.5,"DA12 3EA","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1314,22,"DA12 3HE","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1315,22,"DA12 3HE","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1316,22,"DA12 3HE","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1317,22,"DA12 3HE","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1318,25.4,"DA12 3LE","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1319,21.4,"DA12 3LG","DA12 ","GRAVESEND","GRAVESHAM","KENT"
1320,23.4,"DA13 0AH","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1321,23.4,"DA13 0AH","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1322,44.6,"DA13 0BT","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1323,44.6,"DA13 0BT","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1324,11.7,"DA13 0DP","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1325,25.5,"DA13 0HJ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1326,40.8,"DA13 0HX","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1327,26.5,"DA13 0NQ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1328,26.5,"DA13 0NQ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1329,26.5,"DA13 0NQ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1330,26.5,"DA13 0NQ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1331,26.5,"DA13 0NQ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1332,26.5,"DA13 0NQ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1333,11.1,"DA13 0PZ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1334,11.1,"DA13 0PZ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1335,11.6,"DA13 0QF","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1336,11.6,"DA13 0QF","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1337,11.6,"DA13 0QF","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1338,12.9,"DA13 0QG","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1339,8.7,"DA13 0QN","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1340,8.7,"DA13 0QN","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1341,7.8,"DA13 0QQ","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1342,13.1,"DA13 0RF","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1343,11.5,"DA13 0TH","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1344,22.8,"DA13 0TT","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1345,22.8,"DA13 0TT","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1346,22.8,"DA13 0TT","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1347,37.6,"DA13 0YE","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1348,22.3,"DA13 9AX","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1349,36.9,"DA13 9AY","DA13 ","GRAVESEND","GRAVESHAM","KENT"
1350,28.2,"DA13 9LJ","DA13 ","GRAVESEND","DARTFORD","KENT"
1351,28.2,"DA13 9LJ","DA13 ","GRAVESEND","DARTFORD","KENT"
1352,28.2,"DA13 9LJ","DA13 ","GRAVESEND","DARTFORD","KENT"
1353,19.4,"DA13 9NF","DA13 ","GRAVESEND","DARTFORD","KENT"
1354,26.1,"DA13 9NP","DA13 ","GRAVESEND","DARTFORD","KENT"
1355,26.1,"DA13 9NP","DA13 ","GRAVESEND","DARTFORD","KENT"
1356,26.1,"DA13 9NP","DA13 ","GRAVESEND","DARTFORD","KENT"
1357,37.5,"DA13 9NU","DA13 ","GRAVESEND","DARTFORD","KENT"
1358,39.1,"DA13 9QD","DA13 ","GRAVESEND","DARTFORD","KENT"
1359,63.9,"DA13 9QH","DA13 ","GRAVESEND","DARTFORD","KENT"
1360,25.2,"DA13 9QW","DA13 ","GRAVESEND","DARTFORD","KENT"
1361,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1362,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1363,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1364,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1365,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1366,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1367,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1368,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1369,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1370,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1371,27.8,"DA2 7EX","DA2 7","DARTFORD","DARTFORD","KENT"
1372,10,"DA2 7HR","DA2 7","DARTFORD","DARTFORD","KENT"
1373,10,"DA2 7HR","DA2 7","DARTFORD","DARTFORD","KENT"
1374,10,"DA2 7HR","DA2 7","DARTFORD","DARTFORD","KENT"
1375,29.4,"DA2 7JE","DA2 7","DARTFORD","DARTFORD","KENT"
1376,29.4,"DA2 7JE","DA2 7","DARTFORD","DARTFORD","KENT"
1377,29.4,"DA2 7JE","DA2 7","DARTFORD","DARTFORD","KENT"
1378,8.5,"DA2 7JR","DA2 7","DARTFORD","DARTFORD","KENT"
1379,8.5,"DA2 7JR","DA2 7","DARTFORD","DARTFORD","KENT"
1380,8.5,"DA2 7JR","DA2 7","DARTFORD","DARTFORD","KENT"
1381,8.5,"DA2 7JR","DA2 7","DARTFORD","DARTFORD","KENT"
1382,8.5,"DA2 7JR","DA2 7","DARTFORD","DARTFORD","KENT"
1383,8.5,"DA2 7JR","DA2 7","DARTFORD","DARTFORD","KENT"
1384,23.6,"DA2 8AR","DA2 8","DARTFORD","DARTFORD","KENT"
1385,23.6,"DA2 8AR","DA2 8","DARTFORD","DARTFORD","KENT"
1386,23.6,"DA2 8AR","DA2 8","DARTFORD","DARTFORD","KENT"
1387,23.6,"DA2 8AR","DA2 8","DARTFORD","DARTFORD","KENT"
1388,29.5,"DA2 8AU","DA2 8","DARTFORD","DARTFORD","KENT"
1389,29.5,"DA2 8AU","DA2 8","DARTFORD","DARTFORD","KENT"
1390,29.5,"DA2 8AU","DA2 8","DARTFORD","DARTFORD","KENT"
1391,29.5,"DA2 8AU","DA2 8","DARTFORD","DARTFORD","KENT"
1392,29.5,"DA2 8AU","DA2 8","DARTFORD","DARTFORD","KENT"
1393,32.4,"DA3 7EY","DA3 7","LONGFIELD","SEVENOAKS","KENT"
1394,32.4,"DA3 7EY","DA3 7","LONGFIELD","SEVENOAKS","KENT"
1395,32.4,"DA3 7EY","DA3 7","LONGFIELD","SEVENOAKS","KENT"
1396,36.4,"DA3 7QT","DA3 7","LONGFIELD","DARTFORD","KENT"
1397,19.6,"DA3 8DW","DA3 8","LONGFIELD","SEVENOAKS","KENT"
1398,50.2,"DA3 8PW","DA3 8","LONGFIELD","SEVENOAKS","KENT"
1399,50.2,"DA3 8PW","DA3 8","LONGFIELD","SEVENOAKS","KENT"
1400,50.2,"DA3 8PW","DA3 8","LONGFIELD","SEVENOAKS","KENT"
1401,50.2,"DA3 8PW","DA3 8","LONGFIELD","SEVENOAKS","KENT"
1402,50.2,"DA3 8PW","DA3 8","LONGFIELD","SEVENOAKS","KENT"
1403,50.2,"DA3 8PW","DA3 8","LONGFIELD","SEVENOAKS","KENT"
1404,50.2,"DA3 8PW","DA3 8","LONGFIELD","SEVENOAKS","KENT"
1405,34.9,"DA4 0DG","DA4 0","DARTFORD","SEVENOAKS","KENT"
1406,41.5,"DA4 0EP","DA4 0","DARTFORD","SEVENOAKS","KENT"
1407,41.5,"DA4 0EP","DA4 0","DARTFORD","SEVENOAKS","KENT"
1408,2.8,"DA4 0HN","DA4 0","DARTFORD","SEVENOAKS","KENT"
1409,2.8,"DA4 0HN","DA4 0","DARTFORD","SEVENOAKS","KENT"
1410,2.8,"DA4 0HN","DA4 0","DARTFORD","SEVENOAKS","KENT"
1411,9,"DA4 0HU","DA4 0","DARTFORD","SEVENOAKS","KENT"
1412,9,"DA4 0HU","DA4 0","DARTFORD","SEVENOAKS","KENT"
1413,9,"DA4 0HU","DA4 0","DARTFORD","SEVENOAKS","KENT"
1414,6,"DA4 0JB","DA4 0","DARTFORD","SEVENOAKS","KENT"
1415,36.2,"DA4 0JP","DA4 0","DARTFORD","SEVENOAKS","KENT"
1416,36.2,"DA4 0JP","DA4 0","DARTFORD","SEVENOAKS","KENT"
1417,36.2,"DA4 0JP","DA4 0","DARTFORD","SEVENOAKS","KENT"
1418,36.2,"DA4 0JP","DA4 0","DARTFORD","SEVENOAKS","KENT"
1419,5,"DA4 0JY","DA4 0","DARTFORD","SEVENOAKS","KENT"
1420,5,"DA4 0JY","DA4 0","DARTFORD","SEVENOAKS","KENT"
1421,7.3,"DA4 0JZ","DA4 0","DARTFORD","SEVENOAKS","KENT"
1422,7.3,"DA4 0JZ","DA4 0","DARTFORD","SEVENOAKS","KENT"
1423,7.3,"DA4 0JZ","DA4 0","DARTFORD","SEVENOAKS","KENT"
1424,7.3,"DA4 0JZ","DA4 0","DARTFORD","SEVENOAKS","KENT"
1425,9.9,"DA4 9DA","DA4 9","DARTFORD","SEVENOAKS","KENT"
1426,11.4,"DA4 9DQ","DA4 9","DARTFORD","SEVENOAKS","KENT"
1427,11.4,"DA4 9DQ","DA4 9","DARTFORD","SEVENOAKS","KENT"
1428,11.4,"DA4 9DQ","DA4 9","DARTFORD","SEVENOAKS","KENT"
1429,11.4,"DA4 9DQ","DA4 9","DARTFORD","SEVENOAKS","KENT"
1430,26.4,"DA4 9EA","DA4 9","DARTFORD","DARTFORD","KENT"
1431,48.9,"DA4 9JF","DA4 9","DARTFORD","SEVENOAKS","KENT"
1432,37.4,"DA4 9JW","DA4 9","DARTFORD","SEVENOAKS","KENT"
1433,6.4,"DA4 9JZ","DA4 9","DARTFORD","SEVENOAKS","KENT"
1434,29.6,"DA4 9LP","DA4 9","DARTFORD","SEVENOAKS","KENT"
1435,29.6,"DA4 9LP","DA4 9","DARTFORD","SEVENOAKS","KENT"
1436,26.7,"DA4 9LR","DA4 9","DARTFORD","SEVENOAKS","KENT"
1437,26.7,"DA4 9LR","DA4 9","DARTFORD","SEVENOAKS","KENT"
1438,26.7,"DA4 9LR","DA4 9","DARTFORD","SEVENOAKS","KENT"
1439,14.2,"DA4 9LS","DA4 9","DARTFORD","SEVENOAKS","KENT"
1440,17.9,"DA4 9NB","DA4 9","DARTFORD","SEVENOAKS","KENT"
1441,17.9,"DA4 9NB","DA4 9","DARTFORD","SEVENOAKS","KENT"
1442,17.9,"DA4 9NB","DA4 9","DARTFORD","SEVENOAKS","KENT"
1443,17.9,"DA4 9NB","DA4 9","DARTFORD","SEVENOAKS","KENT"
1444,17.9,"DA4 9NB","DA4 9","DARTFORD","SEVENOAKS","KENT"
1445,17.9,"DA4 9NB","DA4 9","DARTFORD","SEVENOAKS","KENT"
1446,17.9,"DA4 9NB","DA4 9","DARTFORD","SEVENOAKS","KENT"
1447,8.2,"DA4 9ND","DA4 9","DARTFORD","SEVENOAKS","KENT"
1448,8.2,"DA4 9ND","DA4 9","DARTFORD","SEVENOAKS","KENT"
1449,8.2,"DA4 9ND","DA4 9","DARTFORD","SEVENOAKS","KENT"
1450,8.2,"DA4 9ND","DA4 9","DARTFORD","SEVENOAKS","KENT"
1451,104.1,"GU10 1AD","GU10 ","FARNHAM","GUILDFORD","SURREY"
1452,104.1,"GU10 1AD","GU10 ","FARNHAM","GUILDFORD","SURREY"
1453,65.7,"GU10 1AJ","GU10 ","FARNHAM","GUILDFORD","SURREY"
1454,90.7,"GU10 1AT","GU10 ","FARNHAM","GUILDFORD","SURREY"
1455,90.7,"GU10 1AT","GU10 ","FARNHAM","GUILDFORD","SURREY"
1456,87.7,"GU10 1AZ","GU10 ","FARNHAM","GUILDFORD","SURREY"
1457,87.7,"GU10 1AZ","GU10 ","FARNHAM","GUILDFORD","SURREY"
1458,87.7,"GU10 1AZ","GU10 ","FARNHAM","GUILDFORD","SURREY"
1459,87.7,"GU10 1AZ","GU10 ","FARNHAM","GUILDFORD","SURREY"
1460,86.3,"GU10 1DQ","GU10 ","FARNHAM","GUILDFORD","SURREY"
1461,86.3,"GU10 1DQ","GU10 ","FARNHAM","GUILDFORD","SURREY"
1462,16.1,"GU10 1HU","GU10 ","FARNHAM","GUILDFORD","SURREY"
1463,10.3,"GU10 1HY","GU10 ","FARNHAM","GUILDFORD","SURREY"
1464,9.7,"GU10 1JX","GU10 ","FARNHAM","GUILDFORD","SURREY"
1465,9.7,"GU10 1JX","GU10 ","FARNHAM","GUILDFORD","SURREY"
1466,9.4,"GU10 1LA","GU10 ","FARNHAM","GUILDFORD","SURREY"
1467,9.4,"GU10 1LA","GU10 ","FARNHAM","GUILDFORD","SURREY"
1468,9.4,"GU10 1LA","GU10 ","FARNHAM","GUILDFORD","SURREY"
1469,9.4,"GU10 1LA","GU10 ","FARNHAM","GUILDFORD","SURREY"
1470,45,"GU10 1NB","GU10 ","FARNHAM","GUILDFORD","SURREY"
1471,3.8,"GU10 2BN","GU10 ","FARNHAM","WAVERLEY","SURREY"
1472,3.8,"GU10 2BN","GU10 ","FARNHAM","WAVERLEY","SURREY"
1473,11.2,"GU10 2BW","GU10 ","FARNHAM","WAVERLEY","SURREY"
1474,11.2,"GU10 2BW","GU10 ","FARNHAM","WAVERLEY","SURREY"
1475,11.2,"GU10 2BW","GU10 ","FARNHAM","WAVERLEY","SURREY"
1476,3.5,"GU10 2ET","GU10 ","FARNHAM","WAVERLEY","SURREY"
1477,21.5,"GU10 2HJ","GU10 ","FARNHAM","WAVERLEY","SURREY"
1478,34.2,"GU10 2HN","GU10 ","FARNHAM","WAVERLEY","SURREY"
1479,21.3,"GU10 2HS","GU10 ","FARNHAM","WAVERLEY","SURREY"
1480,14.3,"GU10 2HW","GU10 ","FARNHAM","WAVERLEY","SURREY"
1481,45.4,"GU10 2JA","GU10 ","FARNHAM","WAVERLEY","SURREY"
1482,2.2,"GU10 2LB","GU10 ","FARNHAM","WAVERLEY","SURREY"
1483,2.2,"GU10 2LB","GU10 ","FARNHAM","WAVERLEY","SURREY"
1484,2.2,"GU10 2LB","GU10 ","FARNHAM","WAVERLEY","SURREY"
1485,2.2,"GU10 2LB","GU10 ","FARNHAM","WAVERLEY","SURREY"
1486,38.1,"GU10 2LN","GU10 ","FARNHAM","WAVERLEY","SURREY"
1487,21,"GU10 2LP","GU10 ","FARNHAM","WAVERLEY","SURREY"
1488,47.4,"GU10 3AN","GU10 ","FARNHAM","WAVERLEY","SURREY"
1489,30.8,"GU10 3AT","GU10 ","FARNHAM","WAVERLEY","SURREY"
1490,18.7,"GU10 3AU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1491,18.7,"GU10 3AU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1492,18.7,"GU10 3AU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1493,31.1,"GU10 3BH","GU10 ","FARNHAM","WAVERLEY","SURREY"
1494,38.2,"GU10 3BJ","GU10 ","FARNHAM","WAVERLEY","SURREY"
1495,38.2,"GU10 3BJ","GU10 ","FARNHAM","WAVERLEY","SURREY"
1496,38.2,"GU10 3BJ","GU10 ","FARNHAM","WAVERLEY","SURREY"
1497,33,"GU10 3DE","GU10 ","FARNHAM","WAVERLEY","SURREY"
1498,33,"GU10 3DE","GU10 ","FARNHAM","WAVERLEY","SURREY"
1499,32.8,"GU10 3DG","GU10 ","FARNHAM","WAVERLEY","SURREY"
1500,32.8,"GU10 3DG","GU10 ","FARNHAM","WAVERLEY","SURREY"
1501,39.7,"GU10 3DS","GU10 ","FARNHAM","WAVERLEY","SURREY"
1502,43.2,"GU10 3EA","GU10 ","FARNHAM","WAVERLEY","SURREY"
1503,43.2,"GU10 3EA","GU10 ","FARNHAM","WAVERLEY","SURREY"
1504,43.2,"GU10 3EA","GU10 ","FARNHAM","WAVERLEY","SURREY"
1505,43.2,"GU10 3EA","GU10 ","FARNHAM","WAVERLEY","SURREY"
1506,43.2,"GU10 3EA","GU10 ","FARNHAM","WAVERLEY","SURREY"
1507,43.2,"GU10 3EA","GU10 ","FARNHAM","WAVERLEY","SURREY"
1508,48.3,"GU10 3HB","GU10 ","FARNHAM","WAVERLEY","SURREY"
1509,34.3,"GU10 3JU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1510,69.9,"GU10 3PG","GU10 ","FARNHAM","WAVERLEY","SURREY"
1511,69.9,"GU10 3PG","GU10 ","FARNHAM","WAVERLEY","SURREY"
1512,69.9,"GU10 3PG","GU10 ","FARNHAM","WAVERLEY","SURREY"
1513,69.9,"GU10 3PG","GU10 ","FARNHAM","WAVERLEY","SURREY"
1514,39.7,"GU10 3PZ","GU10 ","FARNHAM","WAVERLEY","SURREY"
1515,39.7,"GU10 3PZ","GU10 ","FARNHAM","WAVERLEY","SURREY"
1516,39.7,"GU10 3PZ","GU10 ","FARNHAM","WAVERLEY","SURREY"
1517,2.5,"GU10 4HL","GU10 ","FARNHAM","WAVERLEY","SURREY"
1518,1.1,"GU10 4HQ","GU10 ","FARNHAM","WAVERLEY","SURREY"
1519,33.8,"GU10 4JD","GU10 ","FARNHAM","WAVERLEY","SURREY"
1520,35.5,"GU10 4JF","GU10 ","FARNHAM","WAVERLEY","SURREY"
1521,26.8,"GU10 4PE","GU10 ","FARNHAM","WAVERLEY","SURREY"
1522,32.2,"GU10 4PS","GU10 ","FARNHAM","WAVERLEY","SURREY"
1523,39.4,"GU10 4PU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1524,39.4,"GU10 4PU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1525,39.4,"GU10 4PU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1526,39.4,"GU10 4PU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1527,37.9,"GU10 4PX","GU10 ","FARNHAM","WAVERLEY","SURREY"
1528,42.4,"GU10 4QB","GU10 ","FARNHAM","WAVERLEY","SURREY"
1529,42.4,"GU10 4QB","GU10 ","FARNHAM","WAVERLEY","SURREY"
1530,45.4,"GU10 4QD","GU10 ","FARNHAM","WAVERLEY","SURREY"
1531,41.4,"GU10 4RB","GU10 ","FARNHAM","WAVERLEY","SURREY"
1532,41.4,"GU10 4RB","GU10 ","FARNHAM","WAVERLEY","SURREY"
1533,18,"GU10 4RU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1534,18,"GU10 4RU","GU10 ","FARNHAM","WAVERLEY","SURREY"
1535,38.6,"GU10 4TR","GU10 ","FARNHAM","WAVERLEY","SURREY"
1536,31.9,"GU10 4TZ","GU10 ","FARNHAM","WAVERLEY","SURREY"
1537,56.7,"GU12 5AS","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1538,56.7,"GU12 5AS","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1539,130.7,"GU12 5DA","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1540,78.1,"GU12 5DR","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1541,20.4,"GU12 5HL","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1542,94,"GU12 5JR","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1543,89.8,"GU12 5LR","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1544,89.8,"GU12 5LR","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1545,89.8,"GU12 5LR","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1546,89.8,"GU12 5LR","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1547,73,"GU12 5NL","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1548,57.9,"GU12 5PA","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1549,57.7,"GU12 5PH","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1550,57.7,"GU12 5PH","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1551,57.7,"GU12 5PH","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1552,46.6,"GU12 5QB","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1553,46.6,"GU12 5QB","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1554,46.6,"GU12 5QB","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1555,46.6,"GU12 5QB","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1556,46.6,"GU12 5QB","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1557,49,"GU12 5QF","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1558,71.5,"GU12 5SW","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1559,78.9,"GU12 5SX","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1560,78.9,"GU12 5SX","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1561,78.9,"GU12 5SX","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1562,78.9,"GU12 5SX","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1563,78.9,"GU12 5SX","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1564,78.9,"GU12 5SX","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1565,78.9,"GU12 5SX","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1566,78.9,"GU12 5SX","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1567,64.1,"GU12 6AG","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1568,64.1,"GU12 6AG","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1569,64.1,"GU12 6AG","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1570,72.3,"GU12 6BE","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1571,72.3,"GU12 6BE","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1572,72.3,"GU12 6BE","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1573,38.6,"GU12 6DL","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1574,34.3,"GU12 6DR","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1575,34.3,"GU12 6DR","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1576,34.3,"GU12 6DR","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1577,37.9,"GU12 6DS","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1578,37.9,"GU12 6DS","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1579,37.9,"GU12 6DS","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1580,37.9,"GU12 6DS","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1581,20.3,"GU12 6EH","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1582,20.3,"GU12 6EH","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1583,75.7,"GU12 6JQ","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1584,75.7,"GU12 6JQ","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1585,88.2,"GU12 6LG","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1586,88.2,"GU12 6LG","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1587,88.2,"GU12 6LG","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1588,73.9,"GU12 6LH","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1589,73.9,"GU12 6LH","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1590,73.9,"GU12 6LH","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1591,43.4,"GU12 6PA","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1592,43.4,"GU12 6PA","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1593,88.2,"GU12 6PG","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1594,39.9,"GU12 6QE","GU12 ","ALDERSHOT","GUILDFORD","SURREY"
1595,83.6,"GU1 2WH","GU1 2","GUILDFORD","GUILDFORD","SURREY"
1596,83.6,"GU1 2WH","GU1 2","GUILDFORD","GUILDFORD","SURREY"
1597,83.6,"GU1 2WH","GU1 2","GUILDFORD","GUILDFORD","SURREY"
1598,98.6,"GU16 6EH","GU16 ","CAMBERLEY","SURREY HEATH","SURREY"
1599,98.6,"GU16 6EH","GU16 ","CAMBERLEY","SURREY HEATH","SURREY"
