"S_No","Average download speed (Mbit/s)","Postcode","Short Postcode","Town/City","District","County"
71,98.6,"CR5 3QR","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
72,13.6,"CR5 3QU","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
73,8.6,"CR5 3SE","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
74,3,"CR5 3SH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
75,3,"CR5 3SH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
76,3,"CR5 3SH","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
77,22.9,"CR5 3SX","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
78,16.1,"CR5 3TD","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
79,16.1,"CR5 3TD","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
80,16.1,"CR5 3TD","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
81,12.1,"CR6 9PG","CR6 9","WARLINGHAM","TANDRIDGE","SURREY"
82,12.1,"CR6 9PG","CR6 9","WARLINGHAM","TANDRIDGE","SURREY"
83,12.1,"CR6 9PG","CR6 9","WARLINGHAM","TANDRIDGE","SURREY"
84,34.8,"CT10 2TQ","CT10 ","BROADSTAIRS","THANET","KENT"
85,34.8,"CT10 2TQ","CT10 ","BROADSTAIRS","THANET","KENT"
86,30,"CT10 3JJ","CT10 ","BROADSTAIRS","THANET","KENT"
87,42.5,"CT10 3JP","CT10 ","BROADSTAIRS","THANET","KENT"
88,15.9,"CT10 3RE","CT10 ","BROADSTAIRS","THANET","KENT"
89,15.9,"CT10 3RE","CT10 ","BROADSTAIRS","THANET","KENT"
90,19.6,"CT10 3RF","CT10 ","BROADSTAIRS","THANET","KENT"
91,19.6,"CT10 3RF","CT10 ","BROADSTAIRS","THANET","KENT"
92,19.6,"CT10 3RF","CT10 ","BROADSTAIRS","THANET","KENT"
93,19.6,"CT10 3RF","CT10 ","BROADSTAIRS","THANET","KENT"
94,9.9,"CT10 3RQ","CT10 ","BROADSTAIRS","THANET","KENT"
95,9.9,"CT10 3RQ","CT10 ","BROADSTAIRS","THANET","KENT"
96,23.9,"CT11 0QP","CT11 ","RAMSGATE","THANET","KENT"
97,23.9,"CT11 0QP","CT11 ","RAMSGATE","THANET","KENT"
98,23.9,"CT11 0QP","CT11 ","RAMSGATE","THANET","KENT"
99,23.3,"CT11 7QT","CT11 ","RAMSGATE","THANET","KENT"
100,12,"CT12 4BA","CT12 ","RAMSGATE","THANET","KENT"
101,36.2,"CT12 4BG","CT12 ","RAMSGATE","THANET","KENT"
102,49,"CT12 4EA","CT12 ","RAMSGATE","THANET","KENT"
103,29.7,"CT12 4HT","CT12 ","RAMSGATE","THANET","KENT"
104,29.7,"CT12 4HT","CT12 ","RAMSGATE","THANET","KENT"
105,25.6,"CT12 4JB","CT12 ","RAMSGATE","THANET","KENT"
106,40.5,"CT12 4JS","CT12 ","RAMSGATE","THANET","KENT"
107,40.5,"CT12 4JS","CT12 ","RAMSGATE","THANET","KENT"
108,40.5,"CT12 4JS","CT12 ","RAMSGATE","THANET","KENT"
109,40.5,"CT12 4JS","CT12 ","RAMSGATE","THANET","KENT"
110,26.8,"CT12 5AU","CT12 ","RAMSGATE","THANET","KENT"
111,49.9,"CT12 5AY","CT12 ","RAMSGATE","THANET","KENT"
112,21.7,"CT12 5BU","CT12 ","RAMSGATE","THANET","KENT"
113,21.7,"CT12 5BU","CT12 ","RAMSGATE","THANET","KENT"
114,48.3,"CT12 5EY","CT12 ","RAMSGATE","THANET","KENT"
115,48.3,"CT12 5EY","CT12 ","RAMSGATE","THANET","KENT"
116,48.3,"CT12 5EY","CT12 ","RAMSGATE","THANET","KENT"
117,13.3,"CT12 5JA","CT12 ","RAMSGATE","THANET","KENT"
118,30.1,"CT12 5JG","CT12 ","RAMSGATE","THANET","KENT"
119,30.1,"CT12 5JG","CT12 ","RAMSGATE","THANET","KENT"
120,22,"CT12 6BX","CT12 ","RAMSGATE","THANET","KENT"
121,22,"CT12 6BX","CT12 ","RAMSGATE","THANET","KENT"
122,22,"CT12 6BX","CT12 ","RAMSGATE","THANET","KENT"
