"S_No","Short Postcode","Population","LSOA Code","Postcode","Town/City","District","County"
64,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
65,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
66,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
67,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
68,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
69,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
70,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
71,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
72,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
73,"CR5 3",9061,"E01030568","CR5 3PJ","COULSDON","REIGATE AND BANSTEAD","SURREY"
74,"CR5 3",9061,"E01030567","CR5 3QN","COULSDON","REIGATE AND BANSTEAD","SURREY"
75,"CR5 3",9061,"E01030567","CR5 3QR","COULSDON","REIGATE AND BANSTEAD","SURREY"
76,"CR5 3",9061,"E01030567","CR5 3QU","COULSDON","REIGATE AND BANSTEAD","SURREY"
77,"CR5 3",9061,"E01030567","CR5 3SE","COULSDON","REIGATE AND BANSTEAD","SURREY"
78,"CR5 3",9061,"E01030567","CR5 3SH","COULSDON","REIGATE AND BANSTEAD","SURREY"
79,"CR5 3",9061,"E01030567","CR5 3SH","COULSDON","REIGATE AND BANSTEAD","SURREY"
80,"CR5 3",9061,"E01030567","CR5 3SH","COULSDON","REIGATE AND BANSTEAD","SURREY"
81,"CR5 3",9061,"E01030590","CR5 3SX","COULSDON","REIGATE AND BANSTEAD","SURREY"
82,"CR5 3",9061,"E01030567","CR5 3TD","COULSDON","REIGATE AND BANSTEAD","SURREY"
83,"CR5 3",9061,"E01030567","CR5 3TD","COULSDON","REIGATE AND BANSTEAD","SURREY"
84,"CR5 3",9061,"E01030567","CR5 3TD","COULSDON","REIGATE AND BANSTEAD","SURREY"
85,"CR6 9",9843,"E01030852","CR6 9PG","WARLINGHAM","TANDRIDGE","SURREY"
86,"CR6 9",9843,"E01030852","CR6 9PG","WARLINGHAM","TANDRIDGE","SURREY"
87,"CR6 9",9843,"E01030852","CR6 9PG","WARLINGHAM","TANDRIDGE","SURREY"
88,"CT2 0",5883,"E01024113","CT2 0BQ","CANTERBURY","CANTERBURY","KENT"
89,"CT2 0",5883,"E01024113","CT2 0BZ","CANTERBURY","CANTERBURY","KENT"
90,"CT2 0",5883,"E01024113","CT2 0DN","CANTERBURY","CANTERBURY","KENT"
