"S_No","School Name","Attainment Score","Town","Postcode","Short Post Code","County","Year"
85,"Sunnydown School","24.6","Caterham","CR3 5ED","CR3 5","Surrey","2021"
86,"Thamesmead School","53.5","Shepperton","TW17 9EE","TW17 ","Surrey","2021"
87,"Therfield School","51.2","Leatherhead","KT22 7NZ","KT22 ","Surrey","2021"
88,"Thomas Knyvett College","43.4","Ashford","TW15 3DU","TW15 ","Surrey","2021"
89,"Three Rivers Academy","43.6","Walton-on-Thames","KT12 5EJ","KT12 ","Surrey","2021"
90,"Tomlinscote School","57.6","Camberley","GU16 8PY","GU16 ","Surrey","2021"
91,"Tormead School","51.6","Guildford","GU1 2JD","GU1 2","Surrey","2021"
92,"Unified Academy","5.9","Dorking","RH5 4DB","RH5 4","Surrey","2021"
93,"Unsted Park School","17.1","Godalming","GU7 1UW","GU7 1","Surrey","2021"
94,"Walton Leigh School","0","Walton-on-Thames","KT12 5AB","KT12 ","Surrey","2021"
95,"Warlingham School","46.1","Warlingham","CR6 9YB","CR6 9","Surrey","2021"
96,"Weydon School","62.5","Farnham","GU9 8UG","GU9 8","Surrey","2021"
97,"The Winston Churchill School A Specialist Sports College","53.3","Woking","GU21 8TL","GU21 ","Surrey","2021"
98,"Wishmore Cross Academy","4.5","Woking","GU24 8NE","GU24 ","Surrey","2021"
99,"Woking High School","54.7","Woking","GU21 4TJ","GU21 ","Surrey","2021"
100,"Woldingham School","31.7","Caterham","CR3 7YA","CR3 7","Surrey","2021"
101,"Woodfield School","0.8","Redhill","RH1 3PR","RH1 3","Surrey","2021"
102,"Woolmer Hill School","53.9","Haslemere","GU27 1QB","GU27 ","Surrey","2021"
103,"The Yehudi Menuhin School","11.1","Cobham","KT11 3QQ","KT11 ","Surrey","2021"
